"Nome da conta",Idade,Gênero,Anúncios,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Início dos relatórios","Término dos relatórios"
"Pandox inspirações Conta de anúncios",35-44,female,"Video comece pelos acessórios",40,59,1.475,BRL,0.76,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Instagram Post",36,49,1.36111111,BRL,0.75,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Instagram Post",52,57,1.09615385,BRL,0.68874088,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"v1 - localização;...e mais 1 anúncio",53,57,1.0754717,BRL,0.6,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Novo anúncio de Engajamento",6,44,7.33333333,BRL,0.58,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Video comece pelos acessórios",43,65,1.51162791,BRL,0.52,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Novo anúncio de Engajamento",2,2,1,BRL,0.49,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video localização;...e mais 2 anúncios",366,380,1.03825137,BRL,0.47733598,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Instagram Post",79,82,1.03797468,BRL,0.46914234,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Postagem garantia",37,48,1.2972973,BRL,0.45,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",48,49,1.02083333,BRL,0.41,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Novo anúncio de Engajamento",8,10,1.25,BRL,0.41,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
